name,dimension,scale,files,hunks_per_file,changelists,live_records,dormant_records,staged_files,huge_lines,binary_files,binary_kib,content_bytes,hunks_total,median_ms,min_ms,max_ms,iterations,peak_rss_before_bytes,peak_rss_after_bytes
files-10,files,10,10,4,4,40,0,0,0,0,0,0,40,1.111,1.093,1.140,5,4833280,4964352
files-50,files,50,50,4,4,200,0,0,0,0,0,0,200,5.020,4.950,5.035,5,5484544,5615616
files-250,files,250,250,4,4,1000,0,0,0,0,0,0,1000,24.043,23.735,24.715,5,8503296,9125888
files-1000,files,1000,1000,4,4,4000,0,0,0,0,0,0,4000,95.163,94.425,97.331,5,19439616,21712896
files-1000-unassigned,files,1000,1000,4,0,0,0,0,0,0,0,0,4000,87.965,86.681,88.334,5,4481024,12247040
files-250-staged,files,250,250,4,4,1000,0,125,0,0,0,0,1000,30.171,29.452,30.972,5,8507392,9519104
files-250-touched,files,250,250,4,4,1000,0,0,0,0,0,0,1000,27.339,26.910,28.357,5,8437760,9981952
hunks-2,hunks,2,25,2,4,50,0,0,0,0,0,0,50,2.171,2.159,2.201,5,4882432,5013504
hunks-8,hunks,8,25,8,4,200,0,0,0,0,0,0,200,3.069,2.958,3.351,5,5595136,5726208
hunks-32,hunks,32,25,32,4,800,0,0,0,0,0,0,800,7.552,6.936,8.487,5,7729152,8060928
hunks-128,hunks,128,25,128,4,3200,0,0,0,0,0,0,3200,22.882,22.383,23.313,5,16486400,18063360
hunks-128-unassigned,hunks,128,25,128,0,0,0,0,0,0,0,0,3200,15.922,15.632,16.739,5,4632576,10326016
dormant-0,records,0,50,4,4,200,0,0,0,0,0,0,200,4.801,4.566,5.006,5,5574656,5705728
dormant-1000,records,1000,50,4,4,200,1000,0,0,0,0,0,200,7.638,7.347,7.709,5,8966144,9097216
dormant-4000,records,4000,50,4,4,200,4000,0,0,0,0,0,200,14.838,14.522,15.832,5,19091456,20402176
dormant-16000,records,16000,50,4,4,200,16000,0,0,0,0,0,200,47.163,45.348,47.822,5,57212928,57212928
huge-32k,huge-file,32768,0,4,0,0,0,0,32768,0,0,5286196,1,45.482,43.959,45.525,5,4497408,30580736
huge-128k,huge-file,131072,0,4,0,0,0,0,131072,0,0,21273588,1,185.833,183.839,190.475,5,4419584,109977600
huge-512k,huge-file,524288,0,4,0,0,0,0,524288,0,0,85761012,1,834.631,819.131,839.073,5,4538368,416477184
huge-128k-staged,huge-file,131072,0,4,0,0,0,1,131072,0,0,31910382,1,333.135,328.688,335.255,5,4743168,144834560
binary-4,binaries,4,0,4,0,0,0,0,0,4,1024,8388672,4,42.762,41.663,43.302,5,4481024,7917568
binary-16,binaries,16,0,4,0,0,0,0,0,16,1024,33554688,16,173.254,168.667,174.675,5,4325376,7839744
binary-64,binaries,64,0,4,0,0,0,0,0,64,1024,134218752,64,691.872,684.246,695.275,5,4231168,7823360
binary-256,binaries,256,0,4,0,0,0,0,0,256,1024,536875008,256,2700.493,2681.669,2732.190,5,4567040,8294400
binary-8x32m,binaries,8,0,4,0,0,0,0,0,8,32768,536871040,8,2596.095,2591.224,2612.627,5,4321280,71819264
