name,dimension,scale,files,hunks_per_file,changelists,live_records,dormant_records,staged_files,huge_lines,binary_files,binary_kib,content_bytes,hunks_total,median_ms,min_ms,max_ms,iterations,peak_rss_before_bytes,peak_rss_after_bytes
files-10,files,10,10,4,4,40,0,0,0,0,0,0,40,3.270,3.007,3.615,5,8519680,8732672
files-50,files,50,50,4,4,200,0,0,0,0,0,0,200,14.284,14.180,14.687,5,9666560,10403840
files-250,files,250,250,4,4,1000,0,0,0,0,0,0,1000,75.793,73.005,78.128,5,13877248,15646720
files-1000,files,1000,1000,4,4,4000,0,0,0,0,0,0,4000,270.110,269.829,273.281,5,31096832,40075264
files-1000-unassigned,files,1000,1000,4,0,0,0,0,0,0,0,0,4000,265.935,261.398,268.382,5,7258112,16252928
files-250-staged,files,250,250,4,4,1000,0,125,0,0,0,0,1000,96.584,94.454,117.492,5,14221312,17072128
files-250-touched,files,250,250,4,4,1000,0,0,0,0,0,0,1000,80.217,77.905,94.031,5,13516800,16334848
hunks-2,hunks,2,25,2,4,50,0,0,0,0,0,0,50,7.193,6.928,7.357,5,8667136,8847360
hunks-8,hunks,8,25,8,4,200,0,0,0,0,0,0,200,8.262,7.582,8.698,5,9666560,10420224
hunks-32,hunks,32,25,32,4,800,0,0,0,0,0,0,800,12.006,11.776,12.406,5,12779520,14598144
hunks-128,hunks,128,25,128,4,3200,0,0,0,0,0,0,3200,29.040,28.812,29.246,5,25100288,34177024
hunks-128-unassigned,hunks,128,25,128,0,0,0,0,0,0,0,0,3200,24.413,23.151,25.045,5,7372800,14548992
dormant-0,records,0,50,4,4,200,0,0,0,0,0,0,200,14.050,13.743,14.226,5,9633792,10305536
dormant-1000,records,1000,50,4,4,200,1000,0,0,0,0,0,200,18.204,17.485,19.828,5,15040512,17317888
dormant-4000,records,4000,50,4,4,200,4000,0,0,0,0,0,200,31.211,30.104,31.751,5,33030144,37666816
dormant-16000,records,16000,50,4,4,200,16000,0,0,0,0,0,200,78.896,77.852,84.505,5,97501184,101613568
huge-32k,huge-file,32768,0,4,0,0,0,0,32768,0,0,5286196,1,39.930,39.616,40.644,5,7110656,54263808
huge-128k,huge-file,131072,0,4,0,0,0,0,131072,0,0,21273588,1,164.387,160.084,169.445,5,7045120,228212736
huge-512k,huge-file,524288,0,4,0,0,0,0,524288,0,0,85761012,1,701.152,696.391,732.280,5,7094272,828424192
huge-128k-staged,huge-file,131072,0,4,0,0,0,1,131072,0,0,31910382,1,292.455,291.114,300.023,5,7815168,333938688
binary-4,binaries,4,0,4,0,0,0,0,0,4,1024,8388672,4,51.817,50.887,52.512,5,7077888,13418496
binary-16,binaries,16,0,4,0,0,0,0,0,16,1024,33554688,16,170.641,169.718,175.008,5,7094272,13418496
binary-64,binaries,64,0,4,0,0,0,0,0,64,1024,134218752,64,669.479,668.302,696.771,5,7077888,13500416
binary-256,binaries,256,0,4,0,0,0,0,0,256,1024,536875008,256,2874.390,2718.244,2928.369,5,7192576,15138816
binary-8x32m,binaries,8,0,4,0,0,0,0,0,8,32768,536871040,8,2653.821,2593.196,2861.879,5,7143424,108806144
